ListName,ItemOrder,Item,Convert,Use in ,ItemDescription,FieldUsedIn,ValidateLoops,Validate,Note,Flag
Exposure,1,,NoData,,Null,Exposure,2,FALSE,,FALSE
Exposure,2,AT,NA,,Atmospheric toxicity,Exposure,2,FALSE,,FALSE
Exposure,3,CA,Frost,Special Count,Cold air drainage,Exposure,2,FALSE,,FALSE
Exposure,4,FR,Frost,Special Count,Frost,Exposure,2,FALSE,,FALSE
Exposure,5,IN,Insolation,Special Count,Insolation,Exposure,2,FALSE,,FALSE
Exposure,6,NA,Not present,,Not Applicable,Exposure,2,FALSE,,FALSE
Exposure,7,RN,NA,,Localized Rainshadow,Exposure,2,FALSE,,FALSE
Exposure,8,SA,Salt Spray,Special Count,Salt spray,Exposure,2,FALSE,,FALSE
Exposure,9,SF,NA,,Fresh Water Spray,Exposure,2,FALSE,,FALSE
Exposure,10,SN,Snow,Special Count,Snow Accumulation,Exposure,2,FALSE,,FALSE
Exposure,11,WI,Wind,Special Count,Wind,Exposure,2,FALSE,,FALSE
Exposure,12,X,Not present,,Miscellaneous,Exposure,2,FALSE,,FALSE
FloodingRegimeFreq,2,A,Flood,Special Count,Annual,FloodingRegimeFreq,,TRUE,,FALSE
FloodingRegimeFreq,3,F,Flood,Special Count,Frequent,FloodingRegimeFreq,,TRUE,,FALSE
FloodingRegimeFreq,4,O,Flood,Special Count,Occasional,FloodingRegimeFreq,,TRUE,,FALSE
FloodingRegimeFreq,5,R,,,Rare,FloodingRegimeFreq,,TRUE,,FALSE
FloodingRegimeFreq,6,X,,,Never,FloodingRegimeFreq,,TRUE,,FALSE
HumusForm,1,,,,Null,HumusForm,,TRUE,,FALSE
HumusForm,2,D,D,,Moder,HumusForm,,TRUE,,FALSE
HumusForm,3,FR,O,,Fibrimor,HumusForm,,TRUE,,FALSE
HumusForm,4,HR,R,,Hemimor,HumusForm,,TRUE,,FALSE
HumusForm,5,L,L,,Mull,HumusForm,,TRUE,,FALSE
HumusForm,6,LD,D,,Lignomoder,HumusForm,,TRUE,,FALSE
HumusForm,7,LR,R,,Lignomor,HumusForm,,TRUE,,FALSE
HumusForm,8,MD,D,,Mullmoder,HumusForm,,TRUE,,FALSE
HumusForm,9,MR,O,,Mesimor,HumusForm,,TRUE,,FALSE
HumusForm,10,R,R,,Mor,HumusForm,,TRUE,,FALSE
HumusForm,11,RD,D,,Mormoder,HumusForm,,TRUE,,FALSE
HumusForm,12,RR,R,,Resimor,HumusForm,,TRUE,,FALSE
HumusForm,13,SD,O,,Saprimoder,HumusForm,,TRUE,,FALSE
HumusForm,14,TD,D,,Leptomoder,HumusForm,,TRUE,,FALSE
HumusForm,15,UR,R,,Humimor,HumusForm,,TRUE,,FALSE
HumusForm,16,VL,L,,Vermimull,HumusForm,,TRUE,,FALSE
HumusForm,17,YD,D,,Hydromoder,HumusForm,,TRUE,,FALSE
HumusForm,18,YL,O,,Hydromull,HumusForm,,TRUE,,FALSE
HumusForm,19,YR,R,,Hydromor,HumusForm,,TRUE,,FALSE
HumusForm,20,ZL,L,,Rhizomull,HumusForm,,TRUE,,FALSE
HumusForm,22,PR,R,,Paramor,HumusForm,,TRUE,,FALSE
HumusForm,23,PL,L,,Paramull,HumusForm,,TRUE,,FALSE
MesoSlopePosition,1,,,,Null,MesoSlopePosition,,TRUE,,FALSE
MesoSlopePosition,3,CR,CR/UP,,Crest,MesoSlopePosition,,TRUE,,FALSE
MesoSlopePosition,4,DP,DP,,Depression,MesoSlopePosition,,TRUE,,FALSE
MesoSlopePosition,5,GU,LW/TO,,Gully,MesoSlopePosition,,TRUE,,FALSE
MesoSlopePosition,6,LV,LV,,Level,MesoSlopePosition,,TRUE,,FALSE
MesoSlopePosition,7,LW,LW/TO,,Lower slope,MesoSlopePosition,,TRUE,,FALSE
MesoSlopePosition,8,MD,MD,,Mid slope,MesoSlopePosition,,TRUE,,FALSE
MesoSlopePosition,9,TO,LW/TO,,Toe,MesoSlopePosition,,TRUE,,FALSE
MesoSlopePosition,10,UP,CR/UP,,Upper slope,MesoSlopePosition,,TRUE,,FALSE
MoistureRegime,2,0,Xeric,,VX; very xeric,MoistureRegime,,TRUE,,FALSE
MoistureRegime,3,1,Xeric,,X; xeric,MoistureRegime,,TRUE,,FALSE
MoistureRegime,4,2,Xeric,,SX; subxeric,MoistureRegime,,TRUE,,FALSE
MoistureRegime,5,3,CircumMesic,,SM; submesic,MoistureRegime,,TRUE,,FALSE
MoistureRegime,6,4,CircumMesic,,M; mesic,MoistureRegime,,TRUE,,FALSE
MoistureRegime,7,5,Hygric,,SHG; subhygric,MoistureRegime,,TRUE,,FALSE
MoistureRegime,8,6,Hygric,,HG; hygric,MoistureRegime,,TRUE,,FALSE
MoistureRegime,9,7,Hydric,,SHD; subhydric,MoistureRegime,,TRUE,,FALSE
MoistureRegime,10,8,Hydric,,HD; hydric,MoistureRegime,,TRUE,,FALSE
MoistureRegime,1,,NoData,,Null,MoistureRegime,,TRUE,,FALSE
NutrientRegime,1,,NoData,,Null,NutrientRegime,,TRUE,,FALSE
NutrientRegime,2,A,A,,Very poor (oligotrophic),NutrientRegime,,TRUE,,FALSE
NutrientRegime,3,B,B,,Poor (submesotrophic),NutrientRegime,,TRUE,,FALSE
NutrientRegime,4,C,C,,Medium (mesotrophic),NutrientRegime,,TRUE,,FALSE
NutrientRegime,5,D,D,,Rich (permesotrophic),NutrientRegime,,TRUE,,FALSE
NutrientRegime,6,E,E,,Very rich (eutrophic),NutrientRegime,,TRUE,,FALSE
NutrientRegime,7,F,,,Excess Saline (Hypereutrophic),NutrientRegime,,TRUE,,FALSE
RealmClass,1,,NoData,,null,RealmClass,,TRUE,,FALSE
RealmClass,2,Af,,,Alpine - Fellfield,RealmClass,,TRUE,,FALSE
RealmClass,3,Ag,,,Alpine - Grassland,RealmClass,,TRUE,,FALSE
RealmClass,4,Ah,,,Alpine - Heather,RealmClass,,TRUE,,FALSE
RealmClass,5,Am,,,Alpine - Meadow,RealmClass,,TRUE,,FALSE
RealmClass,6,As,,,Alpine - Snowbed/Nivation,RealmClass,,TRUE,,FALSE
RealmClass,7,At,,,Alpine - Tundra,RealmClass,,TRUE,,FALSE
RealmClass,8,Az,,,Alpine - Zooclimax,RealmClass,,TRUE,,FALSE
RealmClass,9,Bb,,,Beachland - Typic,RealmClass,,TRUE,,FALSE
RealmClass,10,Br,,,Beachland - Headland,RealmClass,,TRUE,,FALSE
RealmClass,11,Ed,,,Estuarine Meadow,RealmClass,,TRUE,,FALSE
RealmClass,12,Em,,,Estuarine Marsh,RealmClass,,TRUE,,FALSE
RealmClass,13,Es,,,Estuarine Swamp,RealmClass,,TRUE,,FALSE
RealmClass,14,Et,,,Estuarine Tidal Flat,RealmClass,,TRUE,,FALSE
RealmClass,15,Fa,,,Flood - Active Channel,RealmClass,,TRUE,,FALSE
RealmClass,16,Ff,,,Flood Fringe,RealmClass,,TRUE,,FALSE
RealmClass,17,Fh,,,Flood Highbench,RealmClass,,TRUE,,FALSE
RealmClass,18,Fl,,,Flood Lowbench,RealmClass,,TRUE,,FALSE
RealmClass,19,Fm,,,Flood Midbench,RealmClass,,TRUE,,FALSE
RealmClass,20,Ga,,,Grassland - Alkaline/Saline Meadow,RealmClass,,TRUE,,FALSE
RealmClass,21,Gb,,,Grassland - Brushland,RealmClass,,TRUE,,FALSE
RealmClass,22,Gg,,,Grassland - typic,RealmClass,,TRUE,,FALSE
RealmClass,23,Gs,,,Grassland - Shrub-steppe,RealmClass,,TRUE,,FALSE
RealmClass,24,Hs,,,Hydrogenic - Spring Seepage,RealmClass,,TRUE,,FALSE
RealmClass,25,Hv,,,Hydrogenic - Vernal Pool,RealmClass,,TRUE,,FALSE
RealmClass,26,Hw,,,Hydrogenic - Waterfall Sprayzone,RealmClass,,TRUE,,FALSE
RealmClass,27,Rc,,,Rock - Cliff,RealmClass,,TRUE,,FALSE
RealmClass,28,Rd,,,Rock - Dune,RealmClass,,TRUE,,FALSE
