"","SiteUnit","Class","Order","Suborder","Alliance","Assoc","Species","MeanCov","Constancy","nPlots"
"31","BWBSdk   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PINUCON2",6.88225806451613,35.4838709677419,62
"32","BWBSdk   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"POPUTRE",2.65967741935484,45.1612903225806,62
"33","BWBSdk   /102","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Pinucon-Vaccvit (BWBS)","ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina",NA,"PICEGLA",2.46368421052632,52.6315789473684,19
"34","BWBSdk   /102","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Pinucon-Vaccvit (BWBS)","ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina",NA,"PINUCON2",25.99,100,19
"35","BWBSdk   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"ABIELAS",2.80041666666667,62.5,24
"36","BWBSdk   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",12.6708333333333,87.5,24
"37","BWBSdk   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PINUCON2",25.9625,100,24
"38","BWBSdk   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"POPUTRE",4.00416666666667,58.3333333333333,24
"39","BWBSdk   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"SALIBEB",0.541666666666667,33.3333333333333,24
"40","BWBSdk   /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PICEGLA",4.15957446808511,55.3191489361702,47
"41","BWBSdk   /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PICEMAR",22.7321276595745,89.3617021276596,47
"42","BWBSdk   /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PINUCON2",11.0631914893617,74.468085106383,47
"43","BWBSdk   /110","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"ABIELAS",4.50833333333333,58.3333333333333,12
"44","BWBSdk   /110","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",35.9333333333333,100,12
"45","BWBSdk   /111","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"ABIELAS",2.08666666666667,33.3333333333333,15
"46","BWBSdk   /111","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",36.9466666666667,100,15
"47","BWBSdk   /Wb09","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu","ALLIANCE Picemar-Equiset-Sphagnu",NA,"PICEGLA",1.63157894736842,36.8421052631579,19
"48","BWBSdk   /Wb09","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu","ALLIANCE Picemar-Equiset-Sphagnu",NA,"PICEMAR",29.7894736842105,100,19
"49","BWBSmk   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"BETUPAP",1.31052631578947,42.1052631578947,57
"50","BWBSmk   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",35.0473684210526,94.7368421052632,57
"51","BWBSmk   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEMAR",1.89122807017544,33.3333333333333,57
"52","BWBSmk   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PINUCON2",5.77543859649123,35.0877192982456,57
"53","BWBSmk   /102","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Pinucon-Vaccvit (BWBS)",NA,NA,"PICEGLA",4.07142857142857,85.7142857142857,7
"54","BWBSmk   /102","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Pinucon-Vaccvit (BWBS)",NA,NA,"PICEMAR",8.28571428571429,57.1428571428571,7
"55","BWBSmk   /102","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Pinucon-Vaccvit (BWBS)",NA,NA,"PINUCON2",26.8571428571429,100,7
"56","BWBSmk   /102","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Pinucon-Vaccvit (BWBS)",NA,NA,"POPUTRE",4.87142857142857,57.1428571428571,7
"57","BWBSmk   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",24.2166666666667,100,12
"58","BWBSmk   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PINUCON2",10.5083333333333,66.6666666666667,12
"59","BWBSmk   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"POPUTRE",5.275,83.3333333333333,12
"60","BWBSmk   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"SALISCO",1.75833333333333,41.6666666666667,12
"61","BWBSmk   /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PICEGLA",6.58695652173913,49.2753623188406,69
"62","BWBSmk   /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PICEMAR",34.8565217391304,100,69
"63","BWBSmk   /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PINUCON2",7.81159420289855,56.5217391304348,69
"64","BWBSmk   /110","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"BETUPAP",0.688888888888889,33.3333333333333,9
"65","BWBSmk   /110","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",29.7222222222222,88.8888888888889,9
"66","BWBSmk   /110","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEMAR",4,33.3333333333333,9
"67","BWBSmk   /110","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"POPUTRE",2.16666666666667,33.3333333333333,9
"68","BWBSmk   /111","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"BETUPAP",3.248,40,25
"69","BWBSmk   /111","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",28.492,100,25
"70","BWBSmk   /111","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"POPUBAL",4.444,56,25
"71","BWBSmk   /Wb03","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu","ALLIANCE Picemar-Ledugro","Wb03 ASSOC Picemar-Vaccvit-Sphagnu","LARILAR",2.16190476190476,57.1428571428571,21
"72","BWBSmk   /Wb03","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu","ALLIANCE Picemar-Ledugro","Wb03 ASSOC Picemar-Vaccvit-Sphagnu","PICEMAR",22.2380952380952,95.2380952380952,21
"73","BWBSmk   /Wb09","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu","ALLIANCE Picemar-Equiset-Sphagnu",NA,"LARILAR",1.3,66.6666666666667,3
"74","BWBSmk   /Wb09","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu","ALLIANCE Picemar-Equiset-Sphagnu",NA,"PICEMAR",41.5,100,3
"75","BWBSmk   /Ws15","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu",NA,NA,"LARILAR",4.5,50,4
"76","BWBSmk   /Ws15","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu",NA,NA,"PICEGLA",19.25,100,4
"77","BWBSmk   /Ws15","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu",NA,NA,"PICEMAR",19.5,100,4
"78","BWBSmw   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"BETUPAP",1.43913043478261,34.7826086956522,23
"79","BWBSmw   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",24.3260869565217,100,23
"80","BWBSmw   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PINUCON2",4.34782608695652,47.8260869565217,23
"81","BWBSmw   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"POPUBAL",2.80869565217391,47.8260869565217,23
"82","BWBSmw   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"POPUTRE",3.95217391304348,73.9130434782609,23
"83","BWBSmw   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"BETUPAP",2.09090909090909,45.4545454545455,11
"84","BWBSmw   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",9.34545454545455,90.9090909090909,11
"85","BWBSmw   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PINUCON2",9.81818181818182,54.5454545454545,11
"86","BWBSmw   /103","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"POPUTRE",2.9,81.8181818181818,11
"87","BWBSmw   /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PICEGLA",2.4,69.2307692307692,13
"88","BWBSmw   /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PICEMAR",21.4,100,13
"89","BWBSmw   /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PINUCON2",19.9615384615385,92.3076923076923,13
"90","BWBSmw   /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"POPUTRE",2.3,69.2307692307692,13
"91","BWBSmw   /111","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",21.3846153846154,100,13
"92","BWBSmw   /111","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"POPUBAL",2.23076923076923,61.5384615384615,13
"93","BWBSmw   /111","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"POPUTRE",1.92307692307692,46.1538461538462,13
"94","BWBSmw   /Wb03",NA,NA,NA,NA,NA,"LARILAR",3.66666666666667,66.6666666666667,3
"95","BWBSmw   /Wb03",NA,NA,NA,NA,NA,"PICEMAR",15.3333333333333,100,3
"96","BWBSmw   /Wb09","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu","ALLIANCE Picemar-Equiset-Sphagnu",NA,"LARILAR",7.375,75,4
"97","BWBSmw   /Wb09","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER Sb-Rhodgro-Sphagnu","ALLIANCE Picemar-Equiset-Sphagnu",NA,"PICEMAR",31.5,100,4
"98","BWBSwk 1 /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"ABIELAS",6.25,75,4
"99","BWBSwk 1 /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PICEGLA",15,50,4
"100","BWBSwk 1 /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PICEMAR",26.25,100,4
"101","BWBSwk 1 /104","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PINUCON2",16.25,100,4
"102","BWBSwk 3 /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"ABIELAS",31.5714285714286,71.4285714285714,7
"103","BWBSwk 3 /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",16.6428571428571,85.7142857142857,7
"104","BWBSwk 3 /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEMAR",1.85714285714286,42.8571428571429,7
"105","BWBSwk 3 /102","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Pinucon-Vaccvit (BWBS)","ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina",NA,"ABIELAS",5.25,66.6666666666667,6
"106","BWBSwk 3 /102","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Pinucon-Vaccvit (BWBS)","ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina",NA,"PICEGLA",4.66666666666667,33.3333333333333,6
"107","BWBSwk 3 /102","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Pinucon-Vaccvit (BWBS)","ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina",NA,"PICEMAR",3.5,50,6
"108","BWBSwk 3 /102","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Pinucon-Vaccvit (BWBS)","ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina",NA,"PINUCON2",16.3333333333333,83.3333333333333,6
"109","BWBSwk 3 /103","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"ABIELAS",5.54375,75,16
"110","BWBSwk 3 /103","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PICEGLA",3.81875,37.5,16
"111","BWBSwk 3 /103","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PICEMAR",19.91875,81.25,16
"112","BWBSwk 3 /103","CLASS Picea","ORDER Picemar-Pleusch (coldair upland blackspruce)","SUBORDER SbPl-Rhodgro-Hylospl",NA,NA,"PINUCON2",12.20625,75,16
"113","BWBSwk 3 /110","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"ABIELAS",15.4166666666667,50,6
"114","BWBSwk 3 /110","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",18.6666666666667,100,6
"115","BWBSwk 3 /111",NA,NA,NA,NA,NA,"PICEMAR",21.6666666666667,100,3
"116","CDF mm   /101","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"ABIEGRA",11.9267625899281,64.7482014388489,139
"117","CDF mm   /101","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"ACERMAC",2.07842446043165,38.8489208633094,139
"118","CDF mm   /101","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"PSEUMEN2",57.1792158273381,99.2805755395683,139
"119","CDF mm   /101","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"THUJPLI",13.6460431654676,62.589928057554,139
"120","CDF mm   /102","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"ARBUMEN",8.44583333333333,87.5,24
"121","CDF mm   /102","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"PINUCON1",1.25,33.3333333333333,24
"122","CDF mm   /102","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"PSEUMEN2",31.3379583333333,100,24
"123","CDF mm   /104","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"ARBUMEN",9.71875,78.125,32
"124","CDF mm   /104","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"PSEUMEN2",41.06878125,100,32
"125","CDF mm   /104","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"THUJPLI",0.8125,34.375,32
"126","CDF mm   /105","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"ARBUMEN",15.3105263157895,71.9298245614035,57
"127","CDF mm   /105","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"PSEUMEN2",57.6491228070175,100,57
"128","CDF mm   /105","CLASS Pseumen2","ORDER Pseumen2-Mahoner (Coastal Fd forests)","SUBORDER Fdc",NA,NA,"QUERGAR",3.96666666666667,52.6315789473684,57
"129","CDF mm   /106","CLASS Quergar","ORDER Quergar","SUBORDER Quercus",NA,NA,"QUERGAR",67.3157894736842,100,19
"130","CDF mm   /110","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER FdHwCw-Hylospl (ds, dm, xm zonals)","ALLIANCE CwBg-Achltri (CDF)",NA,"ABIEGRA",8.02058823529412,64.7058823529412,34
"131","CDF mm   /110","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER FdHwCw-Hylospl (ds, dm, xm zonals)","ALLIANCE CwBg-Achltri (CDF)",NA,"ACERMAC",10.4029411764706,61.7647058823529,34
"132","CDF mm   /110","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER FdHwCw-Hylospl (ds, dm, xm zonals)","ALLIANCE CwBg-Achltri (CDF)",NA,"ALNURUB",2.91470588235294,41.1764705882353,34
"133","CDF mm   /110","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER FdHwCw-Hylospl (ds, dm, xm zonals)","ALLIANCE CwBg-Achltri (CDF)",NA,"PSEUMEN2",19.8235294117647,76.4705882352941,34
"134","CDF mm   /110","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER FdHwCw-Hylospl (ds, dm, xm zonals)","ALLIANCE CwBg-Achltri (CDF)",NA,"THUJPLI",36.4705882352941,97.0588235294118,34
"135","CDF mm   /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER FdHwCw-Hylospl (ds, dm, xm zonals)","ALLIANCE CwBg-Achltri (CDF)",NA,"PSEUMEN2",19.25,100,4
"136","CDF mm   /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER FdHwCw-Hylospl (ds, dm, xm zonals)","ALLIANCE CwBg-Achltri (CDF)",NA,"THUJPLI",21.25,75,4
"137","CDF mm   /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER FdHwCw-Hylospl (ds, dm, xm zonals)","ALLIANCE CwBg-Achltri (CDF)",NA,"TSUGHET",21,75,4
"138","CDF mm   /112","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER FdHwCw-Hylospl (ds, dm, xm zonals)","ALLIANCE CwBg-Achltri (CDF)",NA,"ABIEGRA",21.9986842105263,77.6315789473684,76
"139","CDF mm   /112","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER FdHwCw-Hylospl (ds, dm, xm zonals)","ALLIANCE CwBg-Achltri (CDF)",NA,"ACERMAC",15.8565789473684,82.8947368421053,76
