"","SiteUnit","Class","Order","Suborder","Alliance","Assoc","Species","MeanCov","Constancy","nPlots"
"1","BG  xh 1 /103",NA,NA,NA,NA,NA,"PINUPON",20.375,100,4
"2","BG  xh 1 /110",NA,NA,NA,NA,NA,"PINUPON",33.1666666666667,100,3
"3","BG  xh 1 /110",NA,NA,NA,NA,NA,"POPUTRE",2.16666666666667,66.6666666666667,3
"4","BG  xh 1 /110",NA,NA,NA,NA,NA,"PRUNVIR",2.83333333333333,100,3
"5","BG  xh 2 /102","CLASS Pseumen1","ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi)","SUBORDER PyFd-Pseuspi",NA,NA,"PINUPON",6.75,75,4
"6","BG  xh 2 /102","CLASS Pseumen1","ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi)","SUBORDER PyFd-Pseuspi",NA,NA,"PSEUMEN1",9,75,4
"7","BG  xh 2 /110","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"PINUPON",3.375,75,4
"8","BG  xh 2 /110","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"PRUNVIR",1,50,4
"9","BG  xh 2 /110","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"PSEUMEN1",32.25,100,4
"10","BG  xh 3 /110",NA,NA,NA,NA,NA,"JUNISCO",3.5,66.6666666666667,3
"11","BG  xh 3 /110",NA,NA,NA,NA,NA,"PSEUMEN1",42.8333333333333,100,3
"12","BG  xh 3 /111","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"JUNISCO",2.425,75,4
"13","BG  xh 3 /111","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"PSEUMEN1",23.225,100,4
"14","BG  xw 1 /102","CLASS Pseumen1","ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi)","SUBORDER PyFd-Pseuspi",NA,NA,"JUNISCO",1.33333333333333,66.6666666666667,3
"15","BG  xw 1 /102","CLASS Pseumen1","ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi)","SUBORDER PyFd-Pseuspi",NA,NA,"PINUPON",11.6666666666667,100,3
"16","BG  xw 1 /111","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"JUNISCO",0.8,83.3333333333333,6
"17","BG  xw 1 /111","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"PSEUMEN1",37.5833333333333,83.3333333333333,6
"18","BG  xw 2 /110","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"JUNISCO",0.81,70,10
"19","BG  xw 2 /110","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"PSEUMEN1",24.88,100,10
"20","BG  xw 2 /111","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"JUNISCO",3.96153846153846,76.9230769230769,13
"21","BG  xw 2 /111","CLASS Pseumen1","ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB)","SUBORDER Pseumen-Calarub (central concept)",NA,NA,"PSEUMEN1",36.4,100,13
"22","BG  xw 2 /113",NA,NA,NA,NA,NA,"POPUTRE",1.66666666666667,66.6666666666667,3
"23","BG  xw 2 /113",NA,NA,NA,NA,NA,"PSEUMEN1",37,100,3
"24","BG  xw 2 /114","CLASS Populus-Betula","ORDER Poputre","SUBORDER Poputre-Sympalb (IDF-MS)",NA,NA,"POPUTRE",28.0714285714286,85.7142857142857,7
"25","BG  xw 2 /114","CLASS Populus-Betula","ORDER Poputre","SUBORDER Poputre-Sympalb (IDF-MS)",NA,NA,"PRUNVIR",1.92857142857143,42.8571428571429,7
"26","BG  xw 2 /114","CLASS Populus-Betula","ORDER Poputre","SUBORDER Poputre-Sympalb (IDF-MS)",NA,NA,"PSEUMEN1",3.28571428571429,57.1428571428571,7
"27","BG  xw 2 /115","CLASS Populus-Betula","ORDER Poputre","SUBORDER Poputre-Sympalb (IDF-MS)",NA,NA,"JUNISCO",0.75,50,8
"28","BG  xw 2 /115","CLASS Populus-Betula","ORDER Poputre","SUBORDER Poputre-Sympalb (IDF-MS)",NA,NA,"POPUTRE",27.3125,100,8
"29","BWBSdk   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"ABIELAS",9.4741935483871,41.9354838709677,62
"30","BWBSdk   /101","CLASS Picea","ORDER Picegla-Hylospl (BWBS/SWB) (Sw)","SUBORDER Sw (BWBS)",NA,NA,"PICEGLA",30.2403387096774,98.3870967741936,62
